Station;Year;Month;Day;Hour(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
447500;1974;1;24;18;-35;;;;;;11;;210;210;;;;;;;0
447500;1974;1;25;0;-34;;;;;;9.9;;200;200;;;;;;;0
447500;1974;1;25;6;-33;;;;;;6.9;;190;190;;;;;;;0
447500;1974;1;25;12;;;;;;;5;;210;210;;;;;;;100
447500;1974;1;25;18;-33;;;;;;6;;230;230;;;;;;;60
447500;1974;1;26;0;-33;;;;;;6.9;;260;260;;;;;;;100
447500;1974;1;26;6;-31;;;;;;2.9;;30;30;;;;;;;100
447500;1974;1;26;12;-31;;;;;;0;;0;0;;;;;;;100
447500;1974;1;26;18;-24;;;;;;4;;340;340;;;;;;;100
447500;1974;1;27;0;-19;;;;;;9.9;;350;350;;;;;;;100
447500;1974;1;27;6;-19;;;;;;14.9;;350;350;;;;;;;100
447500;1974;1;27;12;-17;;;;;;6;;360;360;;;;;;;100
447500;1974;1;27;18;-18;;;;;;1.9;;350;350;;;;;;;100
447500;1974;1;28;6;-20;;;;;;0.9;;280;280;;;;;;;100
447500;1974;1;28;12;-19;;;;;;6.9;;30;30;;;;;;;100
447500;1974;1;28;18;-19;;;;;;6;;60;60;;;;;;;100
447500;1974;1;29;0;-20;;;;;;4;;20;20;;;;;;;100
447500;1974;1;29;6;-23;;;;;;1.9;;340;340;;;;;;;100
447500;1974;1;29;12;-24;;;;;;1.9;;210;210;;;;;;;100
447500;1974;1;29;18;-23;;;;;;0.9;;220;220;;;;;;;40
447500;1974;1;30;0;-23;;;;;;0;;0;0;;;;;;;40
447500;1974;1;30;6;;;;;;;0;;;;;;;;;;
447500;1974;1;30;12;-16;;;;;;4;;30;30;;;;;;;100
447500;1974;1;30;18;-16;;;;;;2.9;;350;350;;;;;;;100
447500;1974;1;31;0;-16;;;;;;1.9;;20;20;;;;;;;100
447500;1974;1;31;6;-16;;;;;;1.9;;20;20;;;;;;;100
447500;1974;1;31;12;-17;;;;;;2.9;;340;340;;;;;;;100
447500;1974;1;31;18;-13;;;;;;4;;20;20;;;;;;;100
447500;1974;2;1;0;-14;;;;;;6.9;;50;50;;;;;;;100
447500;1974;2;1;6;-15;;;;;;8.9;;20;20;;;;;;;100
447500;1974;2;1;12;-19;;;;;;1.9;;60;60;;;;;;;100
447500;1974;2;1;18;-20;;;;;;0.9;;130;130;;;;;;;60
447500;1974;2;2;0;-21;;;;;;1.9;;40;40;;;;;;;100
447500;1974;2;2;6;-18;;;;;;5;;50;50;;;;;;;100
447500;1974;2;2;12;-18;;;;;;6.9;;40;40;;;;;;;100
447500;1974;2;2;18;-21;;;;;;9.9;;50;50;;;;;;;40
447500;1974;2;3;0;-19;;;;;;9.9;;50;50;;;;;;;40
447500;1974;2;3;6;-20;;;;;;8.9;;30;30;;;;;;;100
447500;1974;2;3;12;-18;;;;;;7.9;;20;20;;;;;;;100
447500;1974;2;4;0;-16;;;;;;9.9;;20;20;;;;;;;100
447500;1974;2;4;6;-14;;;;;;11;;10;10;;;;;;;0
447500;1974;2;4;12;-13;;;;;;12;;20;20;;;;;;;100
447500;1974;2;4;18;-13;;;;;;8.9;;340;340;;;;;;;100
447500;1974;2;5;0;-12;;;;;;11;;340;340;;;;;;;100
447500;1974;2;5;6;-13;;;;;;5;;360;360;;;;;;;0
447500;1974;2;5;12;-17;;;;;;0;;0;0;;;;;;;100
447500;1974;2;6;0;-19;;;;;;2.9;;210;210;;;;;;;0
447500;1974;2;6;6;-19;;;;;;1.9;;210;210;;;;;;;0
447500;1974;2;6;12;-21;;;;;;0;;0;0;;;;;;;0
447500;1974;2;6;18;-17;;;;;;0.9;;160;160;;;;;;;0
447500;1974;2;7;0;-29;;;;;;0;;0;0;;;;;;;0
447500;1974;2;7;6;-29;;;;;;4;;140;140;;;;;;;0
447500;1974;2;7;18;-20;;;;;;0.9;;20;20;;;;;;;0
447500;1974;2;8;0;-21;;;;;;0;;0;0;;;;;;;0
447500;1974;2;8;6;-22;;;;;;0;;;;;;;;;;
447500;1974;2;8;12;-21;;;;;;0;;;;;;;;;;
447500;1974;2;8;18;-18;;;;;;2.9;;190;190;;;;;;;0
447500;1974;2;9;6;-22;;;;;;0;;0;0;;;;;;;0
447500;1974;2;9;12;-21;;;;;;1.9;;200;200;;;;;;;0
447500;1974;2;10;6;-22;;;;;;1.9;;160;160;;;;;;;0
447500;1974;2;10;12;-21;;;;;;6.9;;180;180;;;;;;;0
447500;1974;2;10;18;;;;;;;6.7;;200;200;;;;;;;0
447500;1974;2;11;0;-27;;;;;;6.9;;200;200;;;;;;;0
447500;1974;2;11;6;-29;;;;;;4;;210;210;;;;;;;0
447500;1974;2;11;12;;;;;;;1.9;;220;220;;;;;;;0
447500;1974;2;11;18;-28;;;;;;2.9;;210;210;;;;;;;0
447500;1974;2;12;0;-26;;;;;;1.9;;190;190;;;;;;;0
447500;1974;2;12;6;-21;;;;;;0;;0;0;;;;;;;0
447500;1974;2;12;18;-14;;;;;;0.9;;180;180;;;;;;;100
447500;1974;2;13;0;-17;;;;;;0.9;;160;160;;;;;;;0
447500;1974;2;13;6;-18;;;;;;0;;0;0;;;;;;;0
447500;1974;2;13;12;-17;;;;;;0;;0;0;;;;;;;50
447500;1974;2;13;18;-17;;;;;;0;;0;0;;;;;;;100
447500;1974;2;14;0;-20;;;;;;0;;0;0;;;;;;;0
447500;1974;2;14;6;-19;;;;;;2.9;;150;150;;;;;;;100
447500;1974;2;14;12;-23;;;;;;4;;150;150;;;;;;;100
447500;1974;2;14;18;-18;;;;;;5;;150;150;;;;;;;100
447500;1974;2;15;0;-19;;;;;;0.9;;170;170;;;;;;;0
447500;1974;2;15;6;-19;;;;;;1.9;;140;140;;;;;;;0
447500;1974;2;15;12;-21;;;;;;;;;;;;;;;;100
447500;1974;2;15;18;-18;;;;;;9.9;;60;60;;;;;;;100
447500;1974;2;16;0;-24;;;;;;7.9;;30;30;;;;;;;0
447500;1974;2;16;6;-24;;;;;;9.9;;20;20;;;;;;;100
447500;1974;2;16;12;-19;;;;;;14.9;;20;20;;;;;;;100
447500;1974;2;16;18;-18;;;;;;12;;10;10;;;;;;;100
447500;1974;2;17;0;-19;;;;;;4;;60;60;;;;;;;0
447500;1974;2;17;6;-22;;;;;;4;;50;50;;;;;;;100
447500;1974;2;17;12;-23;;;;;;4;;340;340;;;;;;;100
447500;1974;2;18;0;-10;;;;;;11;;30;30;;;;;;;100
447500;1974;2;18;6;-13;;;;;;6;;340;340;;;;;;;100
447500;1974;2;18;12;-12;;;;;;6;;10;10;;;;;;;100
447500;1974;2;18;18;-18;;;;;;5;;250;250;;;;;;;100
447500;1974;2;19;0;-19;;;;;;1.9;;190;190;;;;;;;100
447500;1974;2;19;6;-13;;;;;;0.9;;150;150;;;;;;;0
447500;1974;2;20;0;-16;;;;;;4;;50;50;;;;;;;0
447500;1974;2;20;6;-16;;;;;;1.9;;80;80;;;;;;;0
447500;1974;2;21;0;-23;;;;;;6.9;;200;200;;;;;;;0
447500;1974;2;21;6;-24;;;;;;11;;220;220;;;;;;;0
447500;1974;2;21;12;-27;;;;;;9.9;;210;210;;;;;;;0
447500;1974;2;21;18;-23;;;;;;9.9;;220;220;;;;;;;0
447500;1974;2;22;0;-26;;;;;;6.9;;190;190;;;;;;;0
447500;1974;2;22;6;-24;;;;;;6;;180;180;;;;;;;0
447500;1974;2;22;12;-18;;;;;;4;;150;150;;;;;;;0
447500;1974;2;22;18;-15;;;;;;0.9;;160;160;;;;;;;100
447500;1974;2;23;0;-22;;;;;;5;;30;30;;;;;;;100
447500;1974;2;23;6;-11;;;;;;7.9;;130;130;;;;;;;100
447500;1974;2;23;18;-20;;;;;;6;;80;80;;;;;;;75
447500;1974;2;24;0;-22;;;;;;4;;70;70;;;;;;;0
447500;1974;2;24;6;-17;;;;;;8.9;;180;180;;;;;;;100
447500;1974;2;24;12;-18;;;;;;6;;180;180;;;;;;;100
447500;1974;2;25;6;-20;;;;;;6;;30;30;;;;;;;100
447500;1974;2;25;12;-17;;;;;;6.9;;50;50;;;;;;;100
447500;1974;2;25;18;-15;;;;;;5;;130;130;;;;;;;100
447500;1974;2;26;0;-23;;;;;;9.9;;240;240;;;;;;;100
447500;1974;2;26;6;-27;;;;;;16.9;;240;240;;;;;;;100
447500;1974;2;26;12;-33;;;;;;14.9;;220;220;;;;;;;100
447500;1974;2;26;18;-32;;;;;;16.9;;210;210;;;;;;;0
447500;1974;2;27;12;-36;;;;;;6;;210;210;;;;;;;0
447500;1974;2;27;18;-31;;;;;;6;;230;230;;;;;;;0
447500;1974;2;28;0;;;;;;;6;;230;230;;;;;;;0
447500;1974;2;28;6;-36;;;;;;6;;210;210;;;;;;;0
447500;1974;2;28;12;-32;;;;;;6.9;;210;210;;;;;;;0
447500;1974;2;28;18;-28;;;;;;6;;220;220;;;;;;;0
447500;1974;3;1;0;-36;;;;;;6;;210;210;;;;;;;0
447500;1974;3;1;6;-37;;;;;;6;;210;210;;;;;;;0
447500;1974;3;1;12;-36;;;;;;6.9;;210;210;;;;;;;0
447500;1974;3;1;18;-31;;;;;;8.9;;200;200;;;;;;;0
447500;1974;3;2;0;-36;;;;;;6.9;;200;200;;;;;;;0
447500;1974;3;2;6;-36;;;;;;8.9;;180;180;;;;;;;0
447500;1974;3;2;12;-31;;;;;;6.9;;140;140;;;;;;;100
447500;1974;3;2;18;-23;;;;;;2.9;;60;60;;;;;;;100
447500;1974;3;3;0;-28;;;;;;4;;80;80;;;;;;;100
447500;1974;3;3;6;-26;;;;;;1.9;;30;30;;;;;;;100
447500;1974;3;3;12;-24;;;;;;1.9;;150;150;;;;;;;100
447500;1974;3;3;18;-21;;;;;;8.9;;200;200;;;;;;;100
447500;1974;3;4;0;-31;;;;;;6.9;;230;230;;;;;;;0
447500;1974;3;4;18;-24;;;;;;0;;0;0;;;;;;;0
447500;1974;3;5;0;-26;;;;;;0;;0;0;;;;;;;0
447500;1974;3;5;6;-25;;;;;;0;;0;0;;;;;;;0
447500;1974;3;5;12;-26;;;;;;0;;0;0;;;;;;;0
447500;1974;3;5;18;-21;;;;;;1.9;;110;110;;;;;;;25
447500;1974;3;6;0;-22;;;;;;4;;130;130;;;;;;;0
447500;1974;3;6;6;-19;;;;;;6;;110;110;;;;;;;100
447500;1974;3;6;12;-22;;;;;;2.9;;50;50;;;;;;;100
447500;1974;3;6;18;-17;;;;;;1.9;;50;50;;;;;;;100
447500;1974;3;7;0;-18;;;;;;2.9;;90;90;;;;;;;0
447500;1974;3;7;18;-13;;;;;;0.9;;200;200;;;;;;;0
447500;1974;3;8;0;-21;;;;;;1.9;;220;220;;;;;;;0
447500;1974;3;8;6;-22;;;;;;0.9;;200;200;;;;;;;0
447500;1974;3;8;12;-22;;;;;;0.9;;180;180;;;;;;;0
447500;1974;3;8;18;-12;;;;;;1.9;;160;160;;;;;;;50
447500;1974;3;9;0;-20;;;;;;4;;140;140;;;;;;;0
447500;1974;3;9;6;-18;;;;;;4;;90;90;;;;;;;0
447500;1974;3;9;12;-14;;;;;;6.9;;40;40;;;;;;;100
447500;1974;3;10;0;-13;;;;;;16.9;;30;30;;;;;;;100
447500;1974;3;10;6;-11;;;;;;21.9;;20;20;;;;;;;100
447500;1974;3;10;12;-9;;;;;;20;;40;40;;;;;;;100
447500;1974;3;10;18;-7;;;;;;9.9;;50;50;;;;;;;100
447500;1974;3;11;0;-7;;;;;;14.9;;40;40;;;;;;;100
447500;1974;3;11;6;-4;;;;;;15.9;;20;20;;;;;;;100
447500;1974;3;11;12;-6;;;;;;;;30;30;;;;;;;100
447500;1974;3;11;18;-7;;;;;;9.9;;60;60;;;;;;;0
447500;1974;3;12;0;-8;;;;;;5;;50;50;;;;;;;100
447500;1974;3;12;6;-10;;;;;;6;;40;40;;;;;;;0
447500;1974;3;12;12;-11;;;;;;5;;40;40;;;;;;;100
