distance_m,elevation_m,slope_m_per_m,curvature_m_per_m2
0.000,1.065,-0.104220,0.000350831
10.450,-0.007,-0.101026,0.000260397
20.900,-1.050,-0.098777,0.000169963
31.351,-2.075,-0.097474,0.000079530
41.801,-3.091,-0.097115,-0.000010904
52.251,-4.108,-0.097702,-0.000101338
62.701,-5.136,-0.099233,-0.000191772
73.151,-6.185,-0.101710,-0.000282206
83.602,-7.543,-0.096491,0.000077912
94.052,-8.542,-0.105368,-0.000149679
104.502,-9.550,-0.116467,-0.000331421
114.952,-10.716,-0.132687,-0.000231282
125.402,-12.203,-0.137093,0.000431646
135.853,-13.624,-0.131773,0.001093074
146.303,-14.687,-0.103630,0.001302896
156.753,-15.507,-0.071268,0.001225438
167.203,-16.380,-0.059125,0.001405438
177.653,-17.115,-0.050384,0.001641029
188.104,-17.548,-0.037294,0.001707407
198.554,-17.701,-0.016660,0.001619391
209.004,-17.655,0.010630,0.001445554
219.454,-17.474,0.032033,0.001245926
229.904,-17.235,0.039012,0.001172866
240.354,-16.793,0.040181,0.001027387
250.805,-16.278,0.046289,0.000999030
261.255,-15.625,0.068650,0.000895264
271.705,-14.763,0.096559,0.000487832
282.155,-13.687,0.108613,-0.000297488
292.605,-12.576,0.088923,-0.001196137
303.056,-11.861,0.061167,-0.001558826
313.506,-11.733,0.037804,-0.001137469
323.956,-11.813,0.005114,-0.000459583
334.406,-11.656,-0.011460,-0.000139813
344.856,-11.441,-0.019645,0.000128430
355.307,-11.121,-0.009421,0.000241597
365.757,-10.783,0.020299,0.000249170
376.207,-10.652,0.048565,0.000476744
386.657,-10.365,0.071207,0.000385378
397.107,-9.983,0.079472,0.000122597
407.558,-9.109,0.082638,-0.000997303
418.008,-8.373,0.053456,-0.002048859
428.458,-8.243,-0.007817,-0.002274668
438.908,-8.746,-0.072002,-0.001568854
449.358,-9.422,-0.102240,-0.000644654
459.809,-10.148,-0.091140,0.000262422
470.259,-10.850,-0.060419,0.001051648
