x_spline,y_spline,y_spline_smoothed
0.000000000000000000e+00,1.064513383657867296e+00,2.444686062160866058e+01
2.803356105380020225e+01,-1.750810285796301047e+00,2.447109098543951688e+01
5.606712210760040449e+01,-4.487928221489448255e+00,2.451954753479576965e+01
8.410068316140061029e+01,-7.600905716499851472e+00,2.459222281956511225e+01
1.121342442152008090e+02,-1.037126369994264685e+01,2.468910653636311281e+01
1.401678052690010077e+02,-1.410831159995310813e+01,2.481017804367564850e+01
1.682013663228012206e+02,-1.646021618715172252e+01,2.495541084533290288e+01
1.962349273766014051e+02,-1.768628944538519576e+01,2.512477791776040092e+01
2.242684884304016180e+02,-1.738077428318044682e+01,2.531824619259091946e+01
2.523020494842018309e+02,-1.619538161604317139e+01,2.553577564564144353e+01
2.803356105380020153e+02,-1.388579080647394903e+01,2.577731775073148768e+01
3.083691715918022282e+02,-1.173613543143669524e+01,2.604282801521255308e+01
3.364027326456024412e+02,-1.161683072411625695e+01,2.633225667959689176e+01
3.644362936994026541e+02,-1.081321570889357808e+01,2.664555347726335199e+01
3.924698547532028101e+02,-1.019676878573145551e+01,2.698266398694072166e+01
4.205034158070030230e+02,-8.277916102092833128e+00,2.734352584213669957e+01
4.485369768608032359e+02,-9.367830817784790653e+00,2.772807381963386320e+01
4.765705379146034488e+02,-1.104815135669614179e+01,2.813623513484529326e+01
5.046040989684036617e+02,-1.110532703931614584e+01,2.856793677134754716e+01
5.326376600222038178e+02,-1.129137617178362696e+01,2.902310093492167553e+01
5.606712210760040307e+02,-1.055439605829266547e+01,2.950164774122918132e+01
5.887047821298042436e+02,-9.113470333825020475e+00,3.000349535713896643e+01
6.167383431836044565e+02,-4.089423219697151168e+00,3.052856029465585763e+01
6.447719042374046694e+02,1.494667820775317013e+00,3.107675847546512671e+01
6.728054652912048823e+02,3.853262904765167196e+00,3.164799847755983109e+01
7.008390263450050952e+02,4.867379367696424097e+00,3.224218495758874781e+01
7.288725873988053081e+02,5.394902413681337272e+00,3.285921927436105960e+01
7.569061484526054073e+02,5.384893479768546598e+00,3.349899841874939455e+01
7.849397095064056202e+02,4.572840705480945900e+00,3.416142182988807008e+01
8.129732705602058331e+02,2.678130679982039908e+00,3.484638256647192378e+01
8.410068316140060460e+02,2.095470462847754067e+00,3.555376778022041151e+01
8.690403926678062589e+02,3.008988096085229547e+00,3.628346521427386051e+01
8.970739537216064718e+02,4.665359772163606422e+00,3.703536041266598744e+01
9.251075147754066847e+02,7.505181332679574879e+00,3.780933363711458384e+01
9.531410758292068977e+02,1.019548976279453534e+01,3.860525561229063385e+01
9.811746368830071106e+02,1.255399171961417437e+01,3.942299472556405959e+01
1.009208197936807323e+03,1.496214254141810507e+01,4.026242812333912013e+01
1.037241758990607423e+03,1.554921734720240600e+01,4.112343616998226281e+01
1.065275320044407636e+03,1.518758660293464757e+01,4.200589578217243059e+01
1.093308881098207848e+03,1.396011850929519227e+01,4.290967953502408960e+01
1.121342442152008061e+03,1.373455538597158387e+01,4.383466051371085825e+01
1.149376003205808274e+03,1.565255311379972625e+01,4.478071025495709989e+01
1.177409564259608487e+03,1.868368699622169160e+01,4.574769998672537952e+01
1.205443125313408700e+03,2.171861468670109829e+01,4.673549575196885542e+01
1.233476686367208913e+03,2.312201894323762019e+01,4.774395358997499983e+01
1.261510247421009126e+03,2.288649281706605265e+01,4.877292609371145460e+01
1.289543808474809339e+03,2.148814564663448579e+01,4.982227087742062110e+01
1.317577369528609552e+03,1.969788661626879289e+01,5.089185297928495544e+01
1.345610930582409765e+03,2.271394271218181515e+01,5.198153815884380435e+01
1.373644491636209978e+03,2.863720619887193664e+01,5.309118134140936718e+01
1.401678052690010190e+03,3.516116982082780140e+01,5.422063802861816129e+01
1.429711613743810403e+03,3.930875013624624614e+01,5.536976590296210077e+01
1.457745174797610616e+03,4.022267799202821692e+01,5.653842582833000563e+01
1.485778735851410829e+03,4.189197732681440556e+01,5.772647479838837370e+01
1.513812296905210815e+03,4.362458890193539673e+01,5.893377166389669242e+01
1.541845857959011028e+03,4.565537777496708571e+01,6.016018511786102607e+01
1.569879419012811240e+03,4.777486571716971042e+01,6.140558059096309762e+01
1.597912980066611453e+03,4.947791708861254278e+01,6.266981800685485382e+01
1.625946541120411666e+03,5.061809490357688190e+01,6.395274873486335565e+01
1.653980102174211879e+03,5.120057082867182174e+01,6.525423626229385832e+01
1.682013663228012092e+03,5.196384692275471195e+01,6.657415557037268172e+01
1.710047224281812305e+03,5.285556258390707995e+01,6.791237940406735163e+01
1.738080785335612518e+03,5.384406850764381147e+01,6.926877336098426952e+01
1.766114346389412731e+03,5.476414913699723996e+01,7.064320513116219047e+01
1.794147907443212944e+03,5.579948749934729335e+01,7.203555105729074626e+01
1.822181468497013157e+03,5.684882676098455789e+01,7.344569032045200174e+01
1.850215029550813369e+03,5.787880773039698568e+01,7.487349333091508186e+01
1.878248590604613582e+03,5.890904059606847909e+01,7.631882834433085350e+01
1.906282151658413795e+03,6.011176677431219417e+01,7.778157017922227112e+01
1.934315712712214008e+03,6.152966767868299769e+01,7.926160119982978358e+01
1.962349273766014221e+03,6.298813767025754373e+01,8.075880735928593879e+01
1.990382834819814434e+03,6.367128428082815361e+01,8.227306656732719148e+01
2.018416395873614647e+03,6.527981344019283938e+01,8.380425802159562920e+01
2.046449956927414860e+03,6.757777440124253587e+01,8.535226156359976812e+01
2.074483517981214845e+03,6.996494591413447495e+01,8.691695678893644583e+01
2.102517079035015286e+03,7.209275175290410687e+01,8.849823130693877715e+01
2.130550640088815271e+03,7.321924378489890728e+01,9.009597525741716595e+01
