Year;Month;Day;Hour(utc);301;365
1975;5;1;0;6.1291137;224.7378
1975;5;1;6;5.9343934;219.46974
1975;5;1;12;6.3164415;234.7334
1975;5;1;18;3.1861992;299.06522
1975;5;2;0;4.530242;132.9143
1975;5;2;6;9.947933;145.0817
1975;5;2;12;11.62389;167.67468
1975;5;2;18;8.021557;170.84923
1975;5;3;0;9.367032;136.75742
1975;5;3;6;8.713239;114.54315
1975;5;3;12;6.012468;122.792435
1975;5;3;18;2.7218604;156.65776
1975;5;4;0;4.4994926;187.50189
1975;5;4;6;6.8627667;122.57501
1975;5;4;12;9.435114;137.27089
1975;5;4;18;5.856858;155.91571
1975;5;5;0;6.0857086;150.15744
1975;5;5;6;4.310523;153.41885
1975;5;5;12;1.4723456;21.71167
1975;5;5;18;6.9538627;301.4604
1975;5;6;0;5.121883;289.37054
1975;5;6;6;2.9298937;277.59723
1975;5;6;12;3.4701478;281.46793
1975;5;6;18;3.2162902;299.97668
1975;5;7;0;0.92083967;167.54144
1975;5;7;6;4.584938;145.08913
1975;5;7;12;2.7028224;174.80077
1975;5;7;18;1.818679;212.7783
1975;5;8;0;1.378617;113.678894
1975;5;8;6;2.5014267;168.5446
1975;5;8;12;2.4453654;183.0248
1975;5;8;18;1.6682334;221.7693
1975;5;9;0;4.2140894;186.09093
1975;5;9;6;5.172369;156.25917
1975;5;9;12;5.3995285;172.2911
1975;5;9;18;4.854438;185.40112
1975;5;10;0;6.8225303;180.71465
1975;5;10;6;6.9248004;176.72447
1975;5;10;12;5.8067374;185.75174
1975;5;10;18;4.987531;176.7424
1975;5;11;0;6.955287;150.88185
1975;5;11;6;7.1865053;154.62982
1975;5;11;12;6.9854474;159.27902
1975;5;11;18;5.316913;192.0777
1975;5;12;0;3.6095343;180.29118
1975;5;12;6;4.474056;197.58133
1975;5;12;12;6.9679303;213.48279
1975;5;12;18;5.6112485;213.4161
1975;5;13;0;4.91621;155.81146
1975;5;13;6;6.152133;148.87091
1975;5;13;12;6.069171;160.968
1975;5;13;18;5.83305;225.20947
1975;5;14;0;6.3689585;185.75932
1975;5;14;6;6.625131;177.90411
1975;5;14;12;5.1289744;144.98877
1975;5;14;18;4.105546;163.35397
1975;5;15;0;6.420654;149.49277
