Year;Month;Day;Hour(utc);301;365
2008;5;1;0;4.4781623;223.2852
2008;5;1;6;4.2461367;215.24542
2008;5;1;12;3.7943776;224.02124
2008;5;1;18;3.9748986;257.26636
2008;5;2;0;2.6508312;58.79416
2008;5;2;6;6.554027;93.14542
2008;5;2;12;11.181027;95.22394
2008;5;2;18;9.503668;106.831924
2008;5;3;0;11.560547;103.27324
2008;5;3;6;12.840658;102.235855
2008;5;3;12;11.756981;118.673035
2008;5;3;18;10.776564;134.93661
2008;5;4;0;9.532384;142.1849
2008;5;4;6;7.542558;135.4611
2008;5;4;12;6.805779;126.62625
2008;5;4;18;6.9169436;119.09833
2008;5;5;0;10.011707;107.80681
2008;5;5;6;12.105145;102.67262
2008;5;5;12;11.984937;106.36156
2008;5;5;18;11.723992;118.288864
2008;5;6;0;10.671887;125.844925
2008;5;6;6;10.336882;129.58868
2008;5;6;12;9.230123;133.57668
2008;5;6;18;7.3354025;133.79196
2008;5;7;0;8.12398;118.564224
2008;5;7;6;7.970749;109.38811
2008;5;7;12;6.08616;111.8689
2008;5;7;18;3.7016225;122.409515
2008;5;8;0;6.027539;96.24788
2008;5;8;6;6.509676;100.16135
2008;5;8;12;5.967867;105.80919
2008;5;8;18;3.8596053;146.68294
2008;5;9;0;4.839115;140.61522
2008;5;9;6;4.889712;145.27536
2008;5;9;12;4.2438827;114.90929
2008;5;9;18;6.920771;100.59744
2008;5;10;0;13.045368;101.08571
2008;5;10;6;14.04326;99.49109
2008;5;10;12;13.133083;103.285385
2008;5;10;18;11.254158;111.09352
2008;5;11;0;11.582725;103.94722
2008;5;11;6;11.2597275;107.34035
2008;5;11;12;8.926531;110.77942
2008;5;11;18;9.427454;110.48903
2008;5;12;0;9.394542;127.34479
2008;5;12;6;8.832082;135.5229
2008;5;12;12;7.1188736;139.53975
2008;5;12;18;5.94892;131.47182
2008;5;13;0;7.9737444;120.13045
2008;5;13;6;8.560232;125.59381
2008;5;13;12;7.6723366;137.20311
2008;5;13;18;5.7228837;143.8435
2008;5;14;0;7.433504;120.64937
2008;5;14;6;8.752221;122.22319
2008;5;14;12;8.867185;128.39992
2008;5;14;18;8.640332;124.10399
2008;5;15;0;8.064762;130.97528
2008;5;15;6;6.1523542;134.4765
2008;5;15;12;3.16333;205.03786
2008;5;15;18;1.8244845;250.7804
2008;5;16;0;3.4173546;132.60307
2008;5;16;6;4.757948;94.07179
2008;5;16;12;4.7313457;93.66289
2008;5;16;18;1.1598587;199.50389
2008;5;17;0;6.455557;107.403564
2008;5;17;6;6.86914;116.8378
2008;5;17;12;7.5897512;122.61026
2008;5;17;18;5.7397285;141.04245
2008;5;18;0;6.718216;124.51849
2008;5;18;6;4.991613;143.56686
2008;5;18;12;4.7623324;188.72763
2008;5;18;18;4.137787;233.20833
2008;5;19;0;3.6803472;181.14594
2008;5;19;6;2.960451;220.50078
2008;5;19;12;5.9524193;213.63971
2008;5;19;18;6.3123703;237.18224
2008;5;20;0;4.738863;213.02423
2008;5;20;6;4.767795;215.46896
2008;5;20;12;8.44834;214.84875
2008;5;20;18;8.989249;227.69148
2008;5;21;0;6.7089324;217.91324
2008;5;21;6;6.635118;223.49353
2008;5;21;12;4.925701;221.26523
2008;5;21;18;1.6779401;296.2752
2008;5;22;0;2.8261056;46.817932
2008;5;22;6;4.1339493;85.02457
2008;5;22;12;1.6861762;136.11006
2008;5;22;18;1.3013524;154.61299
2008;5;23;0;5.4359403;97.659454
2008;5;23;6;8.10242;111.783905
2008;5;23;12;9.403831;126.37158
2008;5;23;18;7.7494974;147.69623
2008;5;24;0;7.706672;143.32663
2008;5;24;6;7.296205;132.13696
2008;5;24;12;7.033689;139.17268
2008;5;24;18;5.448865;147.7331
2008;5;25;0;7.988988;128.62274
2008;5;25;6;11.389058;132.50127
2008;5;25;12;14.061323;145.13034
2008;5;25;18;12.985895;155.75952
2008;5;26;0;12.397278;150.51285
2008;5;26;6;11.694861;141.86005
2008;5;26;12;12.190028;148.38971
2008;5;26;18;8.768745;167.72261
2008;5;27;0;4.98593;140.63228
2008;5;27;6;6.9883294;122.44551
2008;5;27;12;9.361196;139.1148
2008;5;27;18;7.69512;148.06998
2008;5;28;0;10.502771;139.29915
2008;5;28;6;9.66626;143.9205
2008;5;28;12;9.152241;135.75113
2008;5;28;18;10.004039;139.52455
2008;5;29;0;14.644898;135.7742
2008;5;29;6;15.884014;130.89804
2008;5;29;12;18.331238;129.0899
2008;5;29;18;16.62237;122.261856
2008;5;30;0;14.865904;124.691574
2008;5;30;6;12.570544;122.67215
2008;5;30;12;10.450061;150.26627
2008;5;30;18;8.413827;173.50928
2008;5;31;0;9.104262;159.16452
2008;5;31;6;4.381678;145.87183
2008;5;31;12;7.5885425;126.63133
2008;5;31;18;5.2341084;122.04285
2008;6;1;0;7.5038047;121.54878
2008;6;1;6;8.012199;119.407364
2008;6;1;12;8.537838;129.0493
2008;6;1;18;5.187515;138.74709
2008;6;2;0;5.7755375;121.77406
2008;6;2;6;6.2579637;115.469666
2008;6;2;12;5.2102118;137.94452
2008;6;2;18;3.6024907;143.25993
2008;6;3;0;7.062461;117.68686
2008;6;3;6;8.1115675;119.45854
2008;6;3;12;9.801749;126.0807
2008;6;3;18;7.5668354;111.61905
2008;6;4;0;8.972516;93.48312
2008;6;4;6;10.540033;101.46846
2008;6;4;12;9.3080015;115.25313
2008;6;4;18;8.549133;99.42963
2008;6;5;0;9.255183;114.67723
2008;6;5;6;11.211037;139.24089
2008;6;5;12;10.046618;131.25655
2008;6;5;18;5.6816273;107.85573
2008;6;6;0;5.2505794;103.1001
2008;6;6;6;7.789552;107.75229
2008;6;6;12;7.383891;119.91963
2008;6;6;18;4.8832464;133.86331
2008;6;7;0;7.767063;119.107025
2008;6;7;6;10.826469;123.604355
2008;6;7;12;10.582053;141.6029
2008;6;7;18;7.883162;152.34702
2008;6;8;0;8.7543545;144.10681
2008;6;8;6;9.4132185;145.13042
2008;6;8;12;9.426989;145.16858
2008;6;8;18;7.703375;135.75177
2008;6;9;0;10.220177;112.60356
2008;6;9;6;11.854112;113.19765
2008;6;9;12;11.683448;119.31845
2008;6;9;18;10.059281;127.38646
2008;6;10;0;10.681203;123.14316
2008;6;10;6;10.925952;117.92407
2008;6;10;12;10.106747;126.34003
2008;6;10;18;6.1014023;139.68774
2008;6;11;0;7.366761;127.137054
2008;6;11;6;8.220221;119.85126
2008;6;11;12;7.990526;129.14183
2008;6;11;18;5.8054624;140.25755
2008;6;12;0;7.339077;116.36191
2008;6;12;6;9.550228;111.854095
2008;6;12;12;11.193544;113.80713
2008;6;12;18;10.621866;129.40816
2008;6;13;0;8.945215;127.48886
2008;6;13;6;10.271596;129.7041
2008;6;13;12;8.778446;139.42278
2008;6;13;18;9.370723;146.80469
2008;6;14;0;10.090152;164.41217
2008;6;14;6;6.815314;212.15237
2008;6;14;12;4.941171;228.46
2008;6;14;18;4.3909593;228.09033
2008;6;15;0;1.3989407;135.17502
2008;6;15;6;4.020016;107.535324
2008;6;15;12;4.7575493;109.44034
2008;6;15;18;3.5659437;107.92549
2008;6;16;0;5.4654574;103.88353
2008;6;16;6;7.6169095;110.022995
2008;6;16;12;8.7201805;117.90689
2008;6;16;18;6.7980127;134.12085
2008;6;17;0;5.1365013;135.80617
2008;6;17;6;3.9388065;150.07646
2008;6;17;12;5.591176;139.94907
2008;6;17;18;4.687449;143.19751
2008;6;18;0;6.456255;139.3115
2008;6;18;6;7.4350324;158.0216
2008;6;18;12;5.1488028;187.36674
2008;6;18;18;6.2031503;201.43616
2008;6;19;0;5.6329236;238.73134
2008;6;19;6;2.7945755;252.97684
2008;6;19;12;2.1460028;7.7550964
2008;6;19;18;4.455972;306.00204
2008;6;20;0;1.8350476;45.17813
2008;6;20;6;5.3639917;126.54912
2008;6;20;12;7.442656;128.68942
2008;6;20;18;2.4794602;159.22119
2008;6;21;0;2.3783965;135.98837
2008;6;21;6;3.7038321;113.62741
2008;6;21;12;6.0208826;108.02916
2008;6;21;18;3.621888;108.92268
2008;6;22;0;6.4560313;93.935776
2008;6;22;6;9.055331;97.93034
2008;6;22;12;9.354312;111.342224
2008;6;22;18;7.2656593;116.00238
2008;6;23;0;8.340702;103.71452
2008;6;23;6;9.830431;103.68968
2008;6;23;12;9.941381;108.76077
2008;6;23;18;8.201315;117.0309
2008;6;24;0;9.163639;107.427155
2008;6;24;6;10.6015835;105.80527
2008;6;24;12;9.155269;109.121506
2008;6;24;18;8.131847;108.165436
2008;6;25;0;10.212739;106.86566
2008;6;25;6;12.02805;107.94829
2008;6;25;12;9.738507;117.94818
2008;6;25;18;7.237388;123.18352
2008;6;26;0;8.19275;107.68884
2008;6;26;6;10.268333;104.64746
2008;6;26;12;10.220369;106.663864
2008;6;26;18;8.731253;100.108536
2008;6;27;0;9.536844;93.20152
2008;6;27;6;12.155878;95.83522
